rpm,coolant_temp,lub_oil_temp,fuel_pressure,coolant_pressure,label,score,pred,status,rules,status_final
455,75.81192539,80.60016369,13.97116025,2.448630195,1,-0.14367271986159091,-1,ANOMALIA,,ANOMALIA
1053,75.98157237,75.84209778,4.212193982,4.705473891,0,-0.1434614734198698,-1,ANOMALIA,,ANOMALIA
646,86.28989581,75.20562731,8.454512251,3.033518045,1,-0.1432830662808655,-1,ANOMALIA,,ANOMALIA
799,74.08360477,77.57523258,12.31190941,3.168087939,1,-0.14439127184557055,-1,ANOMALIA,,ANOMALIA
1348,81.49140597,84.47375281,7.286885806,1.463265044,1,-0.14228837239313685,-1,ANOMALIA,,ANOMALIA
635,68.40312615,76.35883025,6.629578742,2.021019903,1,-0.1430872137451853,-1,ANOMALIA,,ANOMALIA
939,83.99973769,76.25914474,2.713572365,1.868092924,0,-0.14317902114111725,-1,ANOMALIA,,ANOMALIA
657,87.19195786,75.74857535,2.951999184,3.97608778,0,-0.14300068864199378,-1,ANOMALIA,,ANOMALIA
708,76.9100848,77.46225949,5.088072943,2.924952052,1,-0.14300068864199378,-1,ANOMALIA,,ANOMALIA
1007,82.08852547,76.9033516,4.77585741,2.045025408,1,-0.1426072056523654,-1,ANOMALIA,,ANOMALIA
773,86.37386013,75.85403748,7.745653511,4.534210375,1,-0.1426072056523654,-1,ANOMALIA,,ANOMALIA
1385,85.38164882,75.62032791,5.272285313,2.004513685,1,-0.14193733747856074,-1,ANOMALIA,,ANOMALIA
659,75.76059821,83.95811494,3.961213245,1.047239056,0,-0.14326556911518273,-1,ANOMALIA,,ANOMALIA
751,90.4327609,76.53348164,4.393172046,2.483414776,1,-0.14300068864199378,-1,ANOMALIA,,ANOMALIA
591,81.32327912,78.62024306,5.205312086,2.167501472,1,-0.1426072056523654,-1,ANOMALIA,,ANOMALIA
1046,83.5552392,77.70409464,6.288947858,1.117251809,0,-0.1421961436199256,-1,ANOMALIA,,ANOMALIA
829,74.93880147,86.45666983,6.108972885,2.285778328,0,-0.14198677866488307,-1,ANOMALIA,,ANOMALIA
961,92.03931827,76.04902198,6.910787425,2.226115809,1,-0.14502238102291887,-1,ANOMALIA,,ANOMALIA
696,82.65265028,75.80494139,11.96971897,1.451358043,1,-0.14484356140376686,-1,ANOMALIA,,ANOMALIA
852,72.33909464,76.55381668,5.809203168,1.426231004,1,-0.14484356140376686,-1,ANOMALIA,,ANOMALIA
706,74.89123081,76.42277842,5.381253176,2.248736143,1,-0.14482786907070877,-1,ANOMALIA,,ANOMALIA
901,83.60378363,78.93005264,4.591213851,2.344017358,0,-0.1468916789178899,-1,ANOMALIA,,ANOMALIA
740,80.6502174,75.07103293,6.795506013,2.440095612,0,-0.1449726481434379,-1,ANOMALIA,,ANOMALIA
654,67.14573182,77.14450954,5.997907651,3.008774172,1,-0.14443637045260038,-1,ANOMALIA,,ANOMALIA
449,82.14306828,83.36067371,5.416653314,5.694339313,0,-0.14443637045260038,-1,ANOMALIA,,ANOMALIA
779,84.85805631,77.1271708,13.7865859,1.026768907,0,-0.1427675747379854,-1,ANOMALIA,,ANOMALIA
